Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
V'iacheslav Vasylovych Derkach,M,29.0,Ukraine,UKR,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Men's 10 kilometres Sprint,
V'iacheslav Vasylovych Derkach,M,33.0,Ukraine,UKR,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 10 kilometres Sprint,
V'iacheslav Vasylovych Derkach,M,33.0,Ukraine,UKR,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,
"Gerardus Johannes Antonius ""Geert-Jan"" Derksen",M,25.0,Netherlands,NED,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,
"Gerardus Johannes Antonius ""Geert-Jan"" Derksen",M,29.0,Netherlands,NED,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxed Eights,Silver
Maren Derlien,F,28.0,Germany,GER,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Coxless Pairs,
Maren Derlien,F,32.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Coxless Pairs,
Maren Derlien,F,32.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Coxed Eights,
Joo Derly Nunes Jnior,M,27.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Half-Lightweight,
"Kimberley ""Kim"" Dermott",F,26.0,New Zealand,NZL,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,
Audrey Deroin,F,22.0,France,FRA,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,
DeMar Darnell DeRozan,M,26.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Gold
Kimberly Derrick,F,20.0,United States,USA,2006 Winter,2006,Winter,Torino,Short Track Speed Skating,"Short Track Speed Skating Women's 1,000 metres",
Kimberly Derrick,F,20.0,United States,USA,2006 Winter,2006,Winter,Torino,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",
Kimberly Derrick,F,24.0,United States,USA,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Women's 1,000 metres",
Kimberly Derrick,F,24.0,United States,USA,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Women's 1,500 metres",
Kimberly Derrick,F,24.0,United States,USA,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze
Eli Dershwitz,M,20.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Sabre, Individual",
Dimitri Deruelle,M,28.0,France,FRA,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Mixed Skiff,
Kateryna Oleksandrivna Derun,F,22.0,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Javelin Throw,
Isabel Derungs,F,26.0,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Slopestyle,
Thomas Druns,M,27.0,Switzerland,SUI,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,
Georgios Dervisis,M,21.0,Greece,GRE,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,
Nina Derwael,F,16.0,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,
Nina Derwael,F,16.0,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,
Nina Derwael,F,16.0,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,
Nina Derwael,F,16.0,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,
Nina Derwael,F,16.0,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,
Andriy Vasylovych Deryzemlia,M,24.0,Ukraine,UKR,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 10 kilometres Sprint,
Andriy Vasylovych Deryzemlia,M,24.0,Ukraine,UKR,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 20 kilometres,
Andriy Vasylovych Deryzemlia,M,28.0,Ukraine,UKR,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Men's 10 kilometres Sprint,
Andriy Vasylovych Deryzemlia,M,28.0,Ukraine,UKR,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Men's 12.5 kilometres Pursuit,
Andriy Vasylovych Deryzemlia,M,28.0,Ukraine,UKR,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Men's 20 kilometres,
Andriy Vasylovych Deryzemlia,M,28.0,Ukraine,UKR,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,
